"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"BA","CONDEÚBA",17247,"cidade",-41.971829,-14.902227,"29",0.582,72.32,0.49,73.92,260.07,1348.039,12.7941402288806
"BA","CONTENDAS DO SINCORÁ",4066,"cidade",-41.047953,-13.75369,"29",0.577,66.7,0.51,66.92,293.12,977.455,4.15978229176791
"BA","CORAÇÃO DE MARIA",22605,"cidade",-38.748654,-12.233332,"29",0.592,70.74,0.52,61.19,257.21,378.42,59.7352148406532
"BA","CORDEIROS",8614,"cidade",-41.930796,-15.035641,"29",0.579,70.77,0.45,72.68,263.24,523.64,16.4502329844932
"BA","CORIBE",14194,"cidade",-44.458593,-13.823216,"29",0.6,73.44,0.58,83.18,237.03,2662.819,5.33044116028915
"BA","CORONEL JOÃO SÁ",15895,"cidade",-37.919825,-10.2847,"29",0.535,67.96,0.48,54.42,238.18,797.434,19.9326840842001
"BA","CORRENTINA",32137,"cidade",-44.633335,-13.347674,"29",0.603,72.5,0.58,62.32,285.96,11504.314,2.793473822081
"BA","COTEGIPE",13782,"cidade",-44.256559,-12.022761,"29",0.59,69.77,0.56,64.6,237.5,4282.775,3.2180070164788
"BA","CRAVOLÂNDIA",5349,"cidade",-39.803083,-13.353063,"29",0.599,70.88,0.53,84.36,259.87,182.585,29.2959443546841
"BA","CRISÓPOLIS",21103,"cidade",-38.15148,-11.505929,"29",0.543,70.87,0.57,79.9,232.6,636.609,33.1490758063427
"BA","CRISTÓPOLIS",13910,"cidade",-44.421358,-12.224899,"29",0.614,70.93,0.54,81.82,239.23,1052.837,13.2119216934815
"BA","CRUZ DAS ALMAS",63239,"cidade",-39.100787,-12.667516,"29",0.699,72.74,0.55,95.78,481.8,139.117,454.574207321895
"BA","CURAÇÁ",34700,"cidade",-39.899671,-8.984577,"29",0.581,71.68,0.51,66.85,236.77,5950.614,5.83133101895031
"BA","DÁRIO MEIRA",10710,"cidade",-39.903129,-14.4229,"29",0.54,71.27,0.54,82.9,206.16,413.637,25.8922678580495
"BA","DIAS D'ÁVILA",81089,"cidade",NA,NA,"29",0.676,73.66,0.5,95.11,460.6,183.759,441.279066603541
"BA","DOM BASÍLIO",12199,"cidade",-41.767663,-13.756499,"29",0.591,71.97,0.46,61.02,240.83,689.516,17.6921202698705
"BA","DOM MACEDO COSTA",4058,"cidade",-39.192259,-12.901582,"29",0.632,72.69,0.55,78.54,329.93,94.778,42.8158433391715
"BA","ELÍSIO MEDRADO",8122,"cidade",-39.519087,-12.941743,"29",0.623,71.6,0.5,82.56,315.04,179.329,45.2910572188547
"BA","ENCRUZILHADA",17006,"cidade",-40.912432,-15.530168,"29",0.544,70.23,0.49,72.06,220,1890.133,8.99725045803655
"BA","ENTRE RIOS",41780,"cidade",-38.087125,-11.939164,"29",0.615,72.12,0.6,84.11,338.53,1187.766,35.1752786323232
"BA","ESPLANADA",37237,"cidade",-37.943216,-11.794215,"29",0.589,69.38,0.57,88.77,312.58,1299.355,28.6580649630009
"BA","EUCLIDES DA CUNHA",60585,"cidade",-39.015286,-10.507754,"29",0.567,69.94,0.55,83.95,269.58,2025.368,29.9130824620513
"BA","EUNÁPOLIS",113380,"cidade",-39.582122,-16.371498,"29",0.677,72.46,0.57,95.9,575.44,1425.97,79.5107891470367
"BA","FÁTIMA",17890,"cidade",-38.223891,-10.616013,"29",0.559,66.16,0.53,74.24,250.6,364.419,49.0918420828771
"BA","FEIRA DA MATA",5665,"cidade",-44.274424,-14.204405,"29",0.588,70.77,0.54,66.42,212.22,1176.111,4.81672223114995
"BA","FEIRA DE SANTANA",614872,"cidade",-38.966293,-12.266429,"29",0.712,74.2,0.6,95.87,662.24,1304.425,471.373977039692
"BA","FILADÉLFIA",16377,"cidade",-40.14371,-10.740475,"29",0.565,68.56,0.57,78.57,250.08,579.686,28.2515016750448
"BA","FIRMINO ALVES",5617,"cidade",-39.926859,-14.982334,"29",0.578,66.93,0.43,71.79,325.51,172.353,32.5900912661805
"BA","FLORESTA AZUL",10629,"cidade",-39.657877,-14.862934,"29",0.557,68.88,0.45,88.81,242.04,321.013,33.1108085965366
"BA","FORMOSA DO RIO PRETO",25591,"cidade",-45.19298,-11.032812,"29",0.618,70.8,0.6,73.58,287.94,15634.328,1.63684681554589
"BA","GANDU",32403,"cidade",-39.474651,-13.744101,"29",0.632,71.26,0.59,88.01,442.37,229.631,141.108996607601
"BA","GAVIÃO",4463,"cidade",-39.775751,-11.468796,"29",0.599,69.79,0.4,72.62,271.53,384.592,11.6045055539377
"BA","GENTIO DO OURO",11233,"cidade",-42.507652,-11.434233,"29",0.559,69.57,0.52,79.1,207.35,3817.946,2.94215790375244
"BA","GLÓRIA",15221,"cidade",-38.254397,-9.343822,"29",0.593,71.51,0.51,61.35,266.14,1566.609,9.7158895423172
"BA","GONGOGI",7128,"cidade",-39.46899,-14.319481,"29",0.576,71.37,0.47,74.52,234.7,202.194,35.2532716104335
"BA","GOVERNADOR MANGABEIRA",20722,"cidade",-39.041207,-12.599415,"29",0.643,70.26,0.54,88.15,322.02,106.848,193.939053608865
"BA","GUAJERU",6937,"cidade",-41.938064,-14.54668,"29",0.569,71.2,0.46,50.66,241.69,872.867,7.94737342573382
"BA","GUANAMBI",84481,"cidade",-42.779943,-14.223066,"29",0.673,72.33,0.55,86.59,496.05,1272.366,66.3967757704937
"BA","GUARATINGA",20843,"cidade",-39.784713,-16.583276,"29",0.558,70.95,0.53,83.4,258.74,2189.404,9.51994241355182
"BA","HELIÓPOLIS",13031,"cidade",-38.290664,-10.682539,"29",0.563,69.88,0.5,87.07,241.36,313.438,41.574410250193
"BA","IAÇU",24305,"cidade",-40.205609,-12.766637,"29",0.574,66.81,0.61,79.68,311.24,2342.497,10.3756803103697
"BA","IBIASSUCÊ",9224,"cidade",-42.257026,-14.271126,"29",0.611,72.32,0.46,90.56,350.98,483.274,19.0864809611111
"BA","IBICARAÍ",21689,"cidade",-39.591434,-14.857877,"29",0.625,70.81,0.53,93.59,354.75,230.953,93.9108823007278
"BA","IBICOARA",19571,"cidade",-41.283989,-13.405918,"29",0.591,68.86,0.48,82.84,300.89,817.355,23.9443081647509
"BA","IBICUÍ",16198,"cidade",-39.987915,-14.84496,"29",0.584,71.78,0.5,77.93,307.49,1139.378,14.2165286673957
"BA","IBIPEBA",18211,"cidade",-42.019515,-11.643775,"29",0.616,69.61,0.56,84.75,290.82,1382.008,13.1772030263211
"BA","IBIPITANGA",14902,"cidade",-42.485568,-12.880435,"29",0.584,70.42,0.57,64.48,249.32,954.373,15.6144400564559
"BA","IBIQUERA",4044,"cidade",-40.933774,-12.644354,"29",0.511,71.28,0.58,53.14,199.55,698.245,5.7916633846286
