"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"AM","Atalaia do Norte",19921,"cidade",-70.1967,-4.370551,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Autazes",39565,"cidade",-59.125589,-3.585743,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Barcelos",27502,"cidade",-62.931053,-0.983373,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Barreirinha",32041,"cidade",-57.067897,-2.798863,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Benjamin Constant",42984,"cidade",-70.034157,-4.37768,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Beruri",19679,"cidade",-61.36162,-3.898736,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Boa Vista do Ramos",19207,"cidade",-57.587333,-2.974087,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Boca do Acre",34308,"cidade",-67.391926,-8.742322,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Borba",41161,"cidade",-59.58738,-4.391539,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Caapiranga",13081,"cidade",-61.220557,-3.315372,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Canutama",15629,"cidade",-64.39528,-6.52582,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Carauari",28294,"cidade",-66.908559,-4.881605,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Careiro",37869,"cidade",-60.369046,-3.768027,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Careiro da Várzea",30225,"cidade",-59.79639,-3.196979,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Coari",85097,"cidade",-63.144091,-4.094121,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Codajás",28637,"cidade",-62.065787,-3.830528,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Eirunepé",35273,"cidade",-69.86616,-6.656767,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Envira",20033,"cidade",-70.028143,-7.437889,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Fonte Boa",17609,"cidade",-66.094212,-2.523424,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Guajará",16678,"cidade",-72.590713,-7.537971,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Humaitá",55080,"cidade",-63.032743,-7.511712,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Ipixuna",29689,"cidade",-71.693426,-7.047909,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Iranduba",48296,"cidade",-60.189953,-3.274792,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Itacoatiara",101337,"cidade",-58.444874,-3.138607,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Itamarati",7851,"cidade",-68.260027,-6.424591,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Itapiranga",9148,"cidade",-58.029257,-2.74081,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Japurá",2755,"cidade",-66.929051,-1.882366,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Juruá",14712,"cidade",-66.071795,-3.484384,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Jutaí",14317,"cidade",-66.75947,-2.758144,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Lábrea",46069,"cidade",-64.794765,-7.264133,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Manacapuru",97377,"cidade",-60.621581,-3.290657,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Manaquiri",32105,"cidade",-60.461239,-3.440784,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Manaus",2182763,"cidade",-60.02123,-3.118662,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Manicoré",55751,"cidade",-61.289483,-5.804618,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Maraã",18224,"cidade",-65.572995,-1.853129,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Maués",63905,"cidade",-57.706731,-3.392891,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Nhamundá",21173,"cidade",-56.711151,-2.207932,NA,NA,NA,NA,NA,NA,NA,NA
