UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
31,Minas Gerais,10,Sul/Sudoeste de Minas,055,Andrelândia,02803,3102803,Andrelândia
35,São Paulo,11,Itapetininga,042,Itapetininga,02200,3502200,Angatuba
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,02852,3102852,Angelândia
50,Mato Grosso do Sul,04,Sudoeste de Mato Grosso do Sul,011,Iguatemi,00856,5000856,Angélica
26,Pernambuco,03,Agreste Pernambucano,011,Garanhuns,01003,2601003,Angelim
42,Santa Catarina,05,Grande Florianópolis,015,Tijucas,00903,4200903,Angelina
29,Bahia,01,Extremo Oeste Baiano,002,Cotegipe,01403,2901403,Angical
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00608,2200608,Angical do Piauí
17,Tocantins,01,Ocidental do Tocantins,001,Bico do Papagaio,01051,1701051,Angico
24,Rio Grande do Norte,02,Central Potiguar,009,Angicos,00802,2400802,Angicos
33,Rio de Janeiro,05,Sul Fluminense,013,Baía da Ilha Grande,00100,3300100,Angra dos Reis
29,Bahia,03,Centro Norte Baiano,012,Feira de Santana,01502,2901502,Anguera
41,Paraná,03,Norte Central Paranaense,006,Astorga,01150,4101150,Ângulo
52,Goiás,05,Sul Goiano,017,Catalão,01207,5201207,Anhanguera
35,São Paulo,04,Bauru,023,Botucatu,02309,3502309,Anhembi
35,São Paulo,08,Presidente Prudente,036,Presidente Prudente,02408,3502408,Anhumas
52,Goiás,03,Centro Goiano,009,Anicuns,01306,5201306,Anicuns
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,00707,2200707,Anísio de Abreu
42,Santa Catarina,03,Serrana,010,Campos de Lages,01000,4201000,Anita Garibaldi
42,Santa Catarina,05,Grande Florianópolis,017,Tabuleiro,01109,4201109,Anitápolis
13,Amazonas,03,Centro Amazonense,006,Coari,00102,1300102,Anori
43,Rio Grande do Sul,02,Nordeste Rio-grandense,014,Guaporé,00703,4300703,Anta Gorda
29,Bahia,04,Nordeste Baiano,015,Ribeira do Pombal,01601,2901601,Antas
41,Paraná,10,Metropolitana de Curitiba,038,Paranaguá,01200,4101200,Antonina
23,Ceará,06,Centro-Sul Cearense,027,Várzea Alegre,00804,2300804,Antonina do Norte
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,00806,2200806,Antônio Almeida
29,Bahia,03,Centro Norte Baiano,012,Feira de Santana,01700,2901700,Antônio Cardoso
31,Minas Gerais,11,Campo das Vertentes,059,Barbacena,02902,3102902,Antônio Carlos
42,Santa Catarina,05,Grande Florianópolis,016,Florianópolis,01208,4201208,Antônio Carlos
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,03009,3103009,Antônio Dias
29,Bahia,03,Centro Norte Baiano,008,Senhor do Bonfim,01809,2901809,Antônio Gonçalves
50,Mato Grosso do Sul,04,Sudoeste de Mato Grosso do Sul,010,Dourados,00906,5000906,Antônio João
24,Rio Grande do Norte,01,Oeste Potiguar,007,Umarizal,00901,2400901,Antônio Martins
41,Paraná,09,Sudeste Paranaense,034,São Mateus do Sul,01309,4101309,Antônio Olinto
43,Rio Grande do Sul,02,Nordeste Rio-grandense,016,Caxias do Sul,00802,4300802,Antônio Prado
31,Minas Gerais,12,Zona da Mata,063,Muriaé,03108,3103108,Antônio Prado de Minas
25,Paraíba,01,Sertão Paraibano,003,Sousa,00775,2500775,Aparecida
35,São Paulo,13,Vale do Paraíba Paulista,051,Guaratinguetá,02507,3502507,Aparecida
35,São Paulo,01,São José do Rio Preto,001,Jales,02606,3502606,Aparecida d'Oeste
52,Goiás,03,Centro Goiano,010,Goiânia,01405,5201405,Aparecida de Goiânia
52,Goiás,05,Sul Goiano,013,Sudoeste de Goiás,01454,5201454,Aparecida do Rio Doce
17,Tocantins,02,Oriental do Tocantins,006,Porto Nacional,01101,1701101,Aparecida do Rio Negro
50,Mato Grosso do Sul,03,Leste de Mato Grosso do Sul,006,Paranaíba,01003,5001003,Aparecida do Taboado
33,Rio de Janeiro,01,Noroeste Fluminense,002,Santo Antônio de Pádua,00159,3300159,Aperibé
32,Espírito Santo,04,Sul Espírito-santense,012,Cachoeiro de Itapemirim,00508,3200508,Apiacá
51,Mato Grosso,01,Norte Mato-grossense,002,Alta Floresta,00805,5100805,Apiacás
35,São Paulo,11,Itapetininga,044,Capão Bonito,02705,3502705,Apiaí
21,Maranhão,01,Norte Maranhense,001,Litoral Ocidental Maranhense,00832,2100832,Apicum-Açu
42,Santa Catarina,04,Vale do Itajaí,012,Blumenau,01257,4201257,Apiúna
24,Rio Grande do Norte,01,Oeste Potiguar,002,Chapada do Apodi,01008,2401008,Apodi
29,Bahia,04,Nordeste Baiano,017,Alagoinhas,01908,2901908,Aporá
52,Goiás,05,Sul Goiano,013,Sudoeste de Goiás,01504,5201504,Aporé
29,Bahia,06,Centro Sul Baiano,024,Jequié,01957,2901957,Apuarema
41,Paraná,03,Norte Central Paranaense,010,Apucarana,01408,4101408,Apucarana
13,Amazonas,04,Sul Amazonense,013,Madeira,00144,1300144,Apuí
23,Ceará,02,Norte Cearense,011,Médio Curu,00903,2300903,Apuiarés
28,Sergipe,02,Agreste Sergipano,003,Nossa Senhora das Dores,00209,2800209,Aquidabã
50,Mato Grosso do Sul,01,Pantanais Sul Mato-grossense,002,Aquidauana,01102,5001102,Aquidauana
23,Ceará,03,Metropolitana de Fortaleza,016,Fortaleza,01000,2301000,Aquiraz
42,Santa Catarina,01,Oeste Catarinense,005,Concórdia,01273,4201273,Arabutã
25,Paraíba,03,Agreste Paraibano,016,Guarabira,00809,2500809,Araçagi
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,03207,3103207,Araçaí
28,Sergipe,03,Leste Sergipano,011,Aracaju,00308,2800308,Aracaju
35,São Paulo,12,Macro Metropolitana Paulista,046,Sorocaba,02754,3502754,Araçariguama
29,Bahia,04,Nordeste Baiano,017,Alagoinhas,02054,2902054,Araçás
23,Ceará,05,Jaguaribe,022,Litoral de Aracati,01109,2301109,Aracati
29,Bahia,06,Centro Sul Baiano,027,Brumado,02005,2902005,Aracatu
35,São Paulo,03,Araçatuba,017,Araçatuba,02804,3502804,Araçatuba
29,Bahia,04,Nordeste Baiano,016,Serrinha,02104,2902104,Araci
